name,cx,cy,canopy_2022,canopy_2019,income_weekly,peak_temp,polygon
"Kensington",590.9,350.5,15,14.2,1750,38.0,"[[581.4,344.6],[600.4,344.6],[600.4,356.4],[581.4,356.4]]"
"Kingsford",591.3,365.8,14,13.3,1680,38.2,"[[582.3,359.4],[600.4,359.4],[600.4,372.2],[582.3,372.2]]"
"Little Bay",615.6,424.4,18,17.1,1900,37.1,"[[606.1,415.5],[625.1,415.5],[625.1,433.2],[606.1,433.2]]"
"Mosman",609.5,275.3,35,33.2,3100,32.5,"[[593.7,263.9],[625.1,263.9],[625.1,285.5],[609.9,285.5],[593.7,277.7]]"
"Cremorne",590.5,270.8,28,26.6,2600,34.4,"[[584.3,263.9],[596.6,263.9],[596.6,277.7],[584.3,277.7]]"
"Neutral Bay",586.6,283.1,25,23.8,2400,35.2,"[[579.5,277.7],[593.7,277.7],[593.7,288.5],[579.5,288.5]]"
"Kirribilli",585.2,296.9,22,20.9,2500,36.1,"[[579.5,293.4],[590.9,293.4],[590.9,300.3],[579.5,300.3]]"
"North Sydney",577.1,285.5,22,20.9,2300,36.1,"[[570.0,277.7],[584.3,277.7],[584.3,293.4],[570.0,293.4]]"
"Milsons Point",579.5,297.9,20,19.0,2200,36.6,"[[577.6,293.4],[584.3,297.4],[581.4,300.3],[574.8,300.3]]"
"Crows Nest",572.4,273.2,24,22.8,2200,35.5,"[[565.2,265.8],[579.5,265.8],[579.5,280.6],[565.2,280.6]]"
"St Leonards",566.7,267.3,20,19.0,2100,36.6,"[[558.6,260.9],[574.8,260.9],[574.8,273.7],[558.6,273.7]]"
"Chatswood",559.5,245.2,26,24.7,2200,35.0,"[[549.1,236.3],[570.0,236.3],[570.0,254.0],[549.1,254.0]]"
"Lane Cove",540.0,260.9,40,38.0,2400,31.2,"[[527.2,254.0],[552.9,254.0],[552.9,267.8],[527.2,267.8]]"
"Artarmon",558.6,259.9,32,30.4,2150,33.4,"[[549.1,254.0],[568.1,254.0],[568.1,265.8],[549.1,265.8]]"
"Willoughby",574.8,245.2,30,28.5,2100,33.9,"[[565.2,236.3],[584.3,236.3],[584.3,254.0],[565.2,254.0]]"
"Gladesville",516.3,282.1,30,28.5,2100,33.9,"[[505.4,273.7],[527.2,273.7],[527.2,290.5],[505.4,290.5]]"
"Hunters Hill",528.7,284.1,35,33.2,2300,32.5,"[[520.6,277.7],[536.7,277.7],[536.7,290.5],[520.6,290.5]]"
"Wahroonga",491.6,177.2,45,43.0,2700,29.9,"[[475.0,162.5],[508.2,162.5],[508.2,192.0],[475.0,192.0]]"
"Turramurra",507.3,185.2,47,45.0,2650,29.3,"[[494.0,175.3],[520.6,175.3],[520.6,195.0],[494.0,195.0]]"
"Gordon",521.5,204.8,44,42.0,2550,30.1,"[[511.1,195.0],[532.0,195.0],[532.0,214.6],[511.1,214.6]]"
"Pymble",519.1,186.1,46,44.0,2600,29.6,"[[508.2,177.2],[530.1,177.2],[530.1,195.0],[508.2,195.0]]"
"St Ives",544.4,176.2,46,44.0,2700,29.6,"[[530.1,165.4],[558.6,165.4],[558.6,187.1],[530.1,187.1]]"
"Killara",531.0,213.2,43,41.0,2580,30.4,"[[520.6,204.8],[541.5,204.8],[541.5,221.5],[520.6,221.5]]"
"Lindfield",541.5,225.4,42,40.0,2500,30.7,"[[532.0,216.6],[551.0,216.6],[551.0,234.3],[532.0,234.3]]"
"Roseville",551.0,236.3,40,38.0,2450,31.2,"[[541.5,228.4],[560.5,228.4],[560.5,244.2],[541.5,244.2]]"
"Beecroft",441.8,204.8,48,46.0,2350,29.0,"[[429.4,195.0],[454.1,195.0],[454.1,214.6],[429.4,214.6]]"
"Pennant Hills",451.2,186.1,46,44.0,2250,29.6,"[[438.9,177.2],[463.6,177.2],[463.6,195.0],[438.9,195.0]]"
"Hornsby",469.3,151.6,42,40.0,2200,30.7,"[[454.1,137.8],[484.5,137.8],[484.5,165.4],[454.1,165.4]]"
"Waitara",482.6,164.9,40,38.0,2100,31.2,"[[473.1,157.5],[492.1,157.5],[492.1,172.3],[473.1,172.3]]"
"Epping",457.4,225.4,36,34.2,2200,32.3,"[[444.6,214.6],[470.2,214.6],[470.2,236.3],[444.6,236.3]]"
"Ryde",479.8,263.9,28,26.6,1950,34.4,"[[467.4,254.0],[492.1,254.0],[492.1,273.7],[467.4,273.7]]"
"Meadowbank",459.3,272.2,22,20.9,1850,36.1,"[[448.4,263.9],[470.2,263.9],[470.2,280.6],[448.4,280.6]]"
"Rhodes",448.9,280.6,15,14.2,1800,38.0,"[[439.8,273.7],[457.9,273.7],[457.9,287.5],[439.8,287.5]]"
"Manly",648.9,244.2,28,26.6,2300,34.4,"[[634.6,234.3],[663.1,234.3],[663.1,254.0],[634.6,254.0]]"
"Dee Why",653.1,200.3,22,20.9,2000,36.1,"[[641.3,192.0],[665.0,192.0],[665.0,208.7],[641.3,208.7]]"
"Collaroy",655.5,185.2,22,20.9,2100,36.1,"[[644.1,175.3],[666.9,175.3],[666.9,195.0],[644.1,195.0]]"
"Narrabeen",658.8,165.4,24,22.8,2000,35.5,"[[647.9,155.6],[669.8,155.6],[669.8,175.3],[647.9,175.3]]"
"Mona Vale",667.4,131.4,28,26.6,2100,34.4,"[[655.5,120.1],[679.2,120.1],[679.2,142.8],[655.5,142.8]]"
"Avalon Beach",673.0,85.2,35,33.2,2300,32.5,"[[660.2,73.8],[685.9,73.8],[685.9,96.5],[660.2,96.5]]"
"Freshwater",644.1,226.4,25,23.8,2100,35.2,"[[634.6,218.6],[653.6,218.6],[653.6,234.3],[634.6,234.3]]"
"Warriewood",655.5,148.7,26,24.7,2000,35.0,"[[644.1,139.8],[666.9,139.8],[666.9,157.5],[644.1,157.5]]"
"Parramatta",380.0,259.4,24,22.8,1800,35.5,"[[365.8,251.1],[394.2,251.1],[394.2,267.8],[365.8,267.8]]"
"Westmead",366.7,249.6,18,17.1,1650,37.1,"[[353.4,241.2],[380.0,241.2],[380.0,258.0],[353.4,258.0]]"
"Wentworthville",350.6,256.0,15,14.2,1500,38.0,"[[340.1,248.1],[361.0,248.1],[361.0,263.9],[340.1,263.9]]"
"Auburn",403.8,294.4,13,12.3,1550,38.5,"[[391.4,285.5],[416.1,285.5],[416.1,303.3],[391.4,303.3]]"
"Granville",388.6,282.1,12,11.4,1450,38.8,"[[378.1,273.7],[399.0,273.7],[399.0,290.5],[378.1,290.5]]"
"Merrylands",369.6,282.1,13,12.3,1430,38.5,"[[359.1,273.7],[380.0,273.7],[380.0,290.5],[359.1,290.5]]"
"Guildford",364.4,300.3,12,11.4,1400,38.8,"[[353.4,293.4],[375.3,293.4],[375.3,307.2],[353.4,307.2]]"
"Seven Hills",318.2,224.4,16,15.2,1520,37.7,"[[304.0,214.6],[332.5,214.6],[332.5,234.3],[304.0,234.3]]"
"Toongabbie",345.3,245.2,17,16.1,1550,37.4,"[[334.4,236.3],[356.2,236.3],[356.2,254.0],[334.4,254.0]]"
"Blacktown",285.0,216.6,17,16.1,1550,37.4,"[[266.0,204.8],[304.0,204.8],[304.0,228.4],[266.0,228.4]]"
"Mount Druitt",215.2,216.6,13,12.3,1280,38.5,"[[197.6,204.8],[232.8,204.8],[232.8,228.4],[197.6,228.4]]"
"St Marys",171.0,208.8,14,13.3,1300,38.2,"[[153.9,198.9],[188.1,198.9],[188.1,218.6],[153.9,218.6]]"
"Penrith",96.9,195.9,16,15.2,1680,37.7,"[[77.9,185.1],[115.9,185.1],[115.9,206.8],[77.9,206.8]]"
"Glenmore Park",78.8,228.4,15,14.2,1600,38.0,"[[64.6,218.6],[93.1,218.6],[93.1,238.3],[64.6,238.3]]"
"Rooty Hill",238.9,216.7,14,13.3,1400,38.2,"[[226.1,206.8],[251.8,206.8],[251.8,226.5],[226.1,226.5]]"
"Werrington",161.5,200.3,15,14.2,1480,38.0,"[[150.1,192.0],[172.9,192.0],[172.9,208.7],[150.1,208.7]]"
"Fairfield",336.3,317.0,10,9.5,1380,39.3,"[[321.1,307.2],[351.5,307.2],[351.5,326.9],[321.1,326.9]]"
"Cabramatta",317.3,335.8,10,9.5,1300,39.3,"[[302.1,326.9],[332.5,326.9],[332.5,344.6],[302.1,344.6]]"
"Wetherill Park",294.6,290.5,11,10.4,1380,39.0,"[[280.3,280.6],[308.8,280.6],[308.8,300.3],[280.3,300.3]]"
"Smithfield",268.9,298.9,11,10.4,1350,39.0,"[[254.6,290.5],[283.1,290.5],[283.1,307.2],[254.6,307.2]]"
"Cumberland",355.3,303.2,13,12.3,1660,38.5,"[[340.1,293.4],[370.5,293.4],[370.5,313.1],[340.1,313.1]]"
"Liverpool",307.4,363.4,14,13.3,1480,38.2,"[[289.8,352.5],[324.9,352.5],[324.9,374.2],[289.8,374.2]]"
"Bankstown",423.7,362.4,14,13.3,1480,38.2,"[[408.5,352.5],[438.9,352.5],[438.9,372.2],[408.5,372.2]]"
"Lakemba",449.9,366.8,13,12.3,1420,38.5,"[[438.9,359.4],[460.8,359.4],[460.8,374.2],[438.9,374.2]]"
"Punchbowl",432.2,380.5,12,11.4,1380,38.8,"[[419.9,372.2],[444.6,372.2],[444.6,388.9],[419.9,388.9]]"
"Revesby",395.2,394.9,15,14.2,1500,38.0,"[[381.9,386.0],[408.5,386.0],[408.5,403.7],[381.9,403.7]]"
"Padstow",416.6,390.4,15,14.2,1520,38.0,"[[403.8,382.0],[429.4,382.0],[429.4,398.8],[403.8,398.8]]"
"Hurstville",479.8,410.1,18,17.1,1680,37.1,"[[467.4,401.7],[492.1,401.7],[492.1,418.5],[467.4,418.5]]"
"Rockdale",516.3,401.2,15,14.2,1600,38.0,"[[505.4,393.8],[527.2,393.8],[527.2,408.6],[505.4,408.6]]"
"Kogarah",511.1,411.1,16,15.2,1650,37.7,"[[501.6,403.7],[520.6,403.7],[520.6,418.5],[501.6,418.5]]"
"Brighton-Le-Sands",531.0,406.1,17,16.1,1700,37.4,"[[520.6,398.8],[541.5,398.8],[541.5,413.5],[520.6,413.5]]"
"Bexley",481.1,396.3,17,16.1,1620,37.4,"[[470.2,388.9],[492.1,388.9],[492.1,403.7],[470.2,403.7]]"
"Sutherland",435.5,484.9,28,26.6,1880,34.4,"[[419.9,472.6],[451.2,472.6],[451.2,497.2],[419.9,497.2]]"
"Miranda",483.0,481.5,24,22.8,1820,35.5,"[[470.2,470.6],[495.9,470.6],[495.9,492.3],[470.2,492.3]]"
"Caringbah",504.9,490.4,22,20.9,1900,36.1,"[[492.1,480.5],[517.8,480.5],[517.8,500.2],[492.1,500.2]]"
"Cronulla",534.9,500.1,26,24.7,2100,35.0,"[[520.6,490.3],[549.1,490.3],[549.1,510.0],[520.6,510.0]]"
"Engadine",393.3,513.0,32,30.4,1850,33.4,"[[378.1,502.2],[408.5,502.2],[408.5,523.8],[378.1,523.8]]"
"Heathcote",385.7,541.5,40,38.0,1900,31.2,"[[370.5,529.7],[400.9,529.7],[400.9,553.4],[370.5,553.4]]"
"Campbelltown",208.1,505.6,18,17.1,1500,37.1,"[[188.1,494.3],[228.0,494.3],[228.0,516.9],[188.1,516.9]]"
"Narellan",137.8,494.2,14,13.3,1620,38.2,"[[121.6,484.4],[153.9,484.4],[153.9,504.1],[121.6,504.1]]"
"Camden",105.5,502.1,14,13.3,1600,38.2,"[[87.4,490.3],[123.5,490.3],[123.5,514.0],[87.4,514.0]]"
"Appin",199.5,626.7,20,19.0,1500,36.6,"[[180.5,615.4],[218.5,615.4],[218.5,638.0],[180.5,638.0]]"
"The Hills",361.0,184.6,29,27.5,2000,34.1,"[[337.3,167.4],[384.7,167.4],[384.7,201.8],[337.3,201.8]]"
"Castle Hill",393.3,186.1,30,28.5,2100,33.9,"[[378.1,175.3],[408.5,175.3],[408.5,196.9],[378.1,196.9]]"
"Kellyville",363.9,165.4,28,26.6,2050,34.4,"[[349.6,155.6],[378.1,155.6],[378.1,175.3],[349.6,175.3]]"
"Baulkham Hills",378.6,210.2,27,25.6,1900,34.7,"[[365.8,201.8],[391.4,201.8],[391.4,218.6],[365.8,218.6]]"
